"DOI","Materials Science","Social Sciences","Dentistry","Immunology and Microbiology","Business, Management and Accounting","Veterinary","Pharmacology, Toxicology and Pharmaceutics","Mathematics","Nursing","Psychology","Arts and Humanities","Energy","Earth and Planetary Sciences","Economics, Econometrics and Finance","Computer Science","Engineering","Neuroscience","Health Professions","Chemical Engineering","Environmental Science","Medicine","Agricultural and Biological Sciences","Physics and Astronomy","Biochemistry, Genetics and Molecular Biology","Chemistry","Decision Sciences"
"https://doi.org/10.1051/fruits:2001101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0"
"https://doi.org/10.4000/economierurale.3936","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://doi.org/10.19182/remvt.10179","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0","0","0","0","0","0.25","0","0","0","0.25"
"https://doi.org/10.1051/fruits:2008019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0"
"https://doi.org/10.1016/j.dib.2020.105890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4444444444444444","0","0.5555555555555556","0","0","0","0"
"https://doi.org/10.19182/remvt.9741","0","0","0","0","0","0.14285714285714285","0","0","0","0","0","0","0","0","0","0","0","0","0","0.14285714285714285","0.2857142857142857","0.42857142857142855","0","0","0","0"
"https://doi.org/10.17058/redes.v25i3.15233","0","0.8333333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.08333333333333333","0","0","0","0","0","0","0","0.08333333333333333"
"https://doi.org/10.5197/j.2044-0588.2018.038.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7333333333333333","0","0.26666666666666666","0","0"
"https://doi.org/10.1051/agro:19940601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13333333333333333","0","0.8","0.06666666666666667","0","0","0"
"https://doi.org/10.1684/agr.2012.0574","0","0.07692307692307693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9230769230769231","0","0","0","0"
"https://doi.org/10.1111/gcb.14044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3333333333333333","0","0.6666666666666666","0","0","0","0"
"https://doi.org/10.1653/024.098.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.07407407407407407","0","0.9259259259259259","0","0","0","0"
"https://doi.org/10.1016/j.pt.2020.05.010","0","0","0","0.07407407407407407","0","0","0","0","0","0","0","0","0","0","0","0","0.037037037037037035","0","0","0","0.4444444444444444","0.3333333333333333","0","0.1111111111111111","0","0"
"https://doi.org/10.4000/balkanologie.3710","0","0.5","0","0","0","0","0","0","0","0","0","0","0.038461538461538464","0.07692307692307693","0","0","0","0","0","0.34615384615384615","0","0.038461538461538464","0","0","0","0"
"https://doi.org/10.1051/cagri/2019003","0","0.06896551724137931","0","0","0.10344827586206896","0","0","0","0","0","0","0.034482758620689655","0","0","0","0","0","0","0","0.034482758620689655","0","0.6551724137931034","0","0.06896551724137931","0","0.034482758620689655"
"https://doi.org/10.19182/remvt.9827","0","0","0","0","0","0","0","0","0","0.1111111111111111","0","0","0","0","0","0.1111111111111111","0","0","0","0.1111111111111111","0","0.3333333333333333","0.1111111111111111","0.2222222222222222","0","0"
"https://doi.org/10.1051/fruits/2011031","0.047619047619047616","0","0","0","0.047619047619047616","0","0","0","0","0","0","0","0.047619047619047616","0.047619047619047616","0","0.14285714285714285","0","0","0","0.047619047619047616","0.38095238095238093","0.19047619047619047","0","0.047619047619047616","0","0"
"https://doi.org/10.3201/eid1712.110187","0","0.030303030303030304","0","0.5151515151515151","0","0.030303030303030304","0","0","0","0","0","0","0.030303030303030304","0","0","0","0","0","0","0.12121212121212122","0.21212121212121213","0.030303030303030304","0","0.030303030303030304","0","0"
"https://doi.org/10.1051/cagri/2022018","0","0.06666666666666667","0","0","0","0","0","0","0","0.03333333333333333","0.16666666666666666","0","0","0","0","0","0","0","0","0.13333333333333333","0.03333333333333333","0.5333333333333333","0","0.03333333333333333","0","0"
"https://doi.org/10.21608/ajs.2023.213792.1524","0","0.16129032258064516","0","0","0","0.03225806451612903","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25806451612903225","0","0.5161290322580645","0","0.03225806451612903","0","0"
"https://doi.org/10.1590/s0100-204x2009000700011","0","0.02857142857142857","0","0","0.02857142857142857","0","0","0","0","0","0","0","0","0.05714285714285714","0","0","0","0","0","0.02857142857142857","0","0.6285714285714286","0","0.22857142857142856","0","0"
"https://doi.org/10.1684/agr.2015.0782","0","0.5238095238095238","0","0","0","0","0","0","0","0","0","0","0","0.047619047619047616","0","0","0","0","0","0","0","0.42857142857142855","0","0","0","0"
"https://doi.org/10.4000/economierurale.535","0","0.16666666666666666","0","0","0.16666666666666666","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0.16666666666666666","0","0","0","0"
"https://doi.org/10.1186/1756-3305-3-31","0","0.025","0","0.125","0","0","0","0.025","0","0","0","0","0","0","0.05","0","0","0","0","0.35","0.25","0.125","0","0.05","0","0"
"https://doi.org/10.1073/pnas.1801721115","0","0.045454545454545456","0","0","0","0","0","0","0","0","0","0","0.045454545454545456","0","0.045454545454545456","0.13636363636363635","0","0","0","0.3181818181818182","0","0.4090909090909091","0","0","0","0"
"https://doi.org/10.1007/978-3-030-54768-4_9","0","0.59375","0","0","0.0625","0","0","0","0","0","0","0","0","0.0625","0","0","0","0","0","0","0","0.28125","0","0","0","0"
"https://doi.org/10.18174/sesmo.2019a16125","0","0","0","0","0.02127659574468085","0","0","0","0","0","0","0","0","0.02127659574468085","0","0.14893617021276595","0","0","0","0.6595744680851063","0","0.0851063829787234","0","0","0","0.06382978723404255"
"https://doi.org/10.5441/002/edbt.2016.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6363636363636364","0","0","0","0","0","0","0","0","0.18181818181818182","0","0.18181818181818182"
"https://doi.org/10.4000/vertigo.18670","0","0.18181818181818182","0","0","0.045454545454545456","0","0","0","0","0","0","0","0","0.22727272727272727","0","0.022727272727272728","0","0","0","0.4090909090909091","0","0.11363636363636363","0","0","0","0"
"https://doi.org/10.21494/iste.op.2023.1010","0","0.10638297872340426","0","0","0.10638297872340426","0","0","0","0","0","0","0","0","0.02127659574468085","0.06382978723404255","0","0","0.02127659574468085","0","0","0","0.6170212765957447","0","0.02127659574468085","0","0.0425531914893617"
"https://doi.org/10.20506/rst.23.1.1471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0"
"https://doi.org/10.1590/1678-457x.29417","0","0","0","0","0","0","0.20754716981132076","0","0.05660377358490566","0","0","0","0","0","0","0","0","0","0","0","0.3018867924528302","0.33962264150943394","0","0.03773584905660377","0.05660377358490566","0"
"https://doi.org/10.1590/s0100-204x2014000300005","0.08","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0.66","0","0","0","0.06","0","0.14","0","0.02","0","0"
"https://doi.org/10.15446/acag.v67n2.61334","0","0.022727272727272728","0","0","0","0","0","0","0","0","0","0","0.022727272727272728","0","0","0","0","0","0","0","0.045454545454545456","0.5454545454545454","0","0.36363636363636365","0","0"
"https://doi.org/10.3917/inno.pr1.0014","0","0.04","0","0","0.18","0","0","0","0","0","0","0","0","0.34","0.04","0.02","0","0","0","0","0.04","0.2","0","0.06","0","0.08"
"https://doi.org/10.17660/th2017/72.6.1","0","0.1346153846153846","0","0","0.038461538461538464","0","0.057692307692307696","0","0.019230769230769232","0","0.019230769230769232","0","0.019230769230769232","0","0","0","0","0","0","0.057692307692307696","0","0.5576923076923077","0","0.07692307692307693","0","0.019230769230769232"
"https://doi.org/10.1155/2011/134526","0","0.016666666666666666","0","0","0","0","0","0","0","0","0","0.016666666666666666","0.03333333333333333","0.016666666666666666","0","0.05","0","0","0","0.8","0","0.06666666666666667","0","0","0","0"
"https://doi.org/10.19182/bft2019.340.a31708","0","0.08333333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0.08333333333333333","0","0","0","0.25","0","0.5833333333333334","0","0","0","0"
"https://doi.org/10.4236/fns.2020.112010","0.03636363636363636","0","0","0","0","0","0","0","0.03636363636363636","0","0","0","0","0","0","0.07272727272727272","0","0","0","0.07272727272727272","0.07272727272727272","0.5454545454545454","0","0.12727272727272726","0.01818181818181818","0.01818181818181818"
"https://doi.org/10.19182/remvt.9881","0","0.02564102564102564","0","0.02564102564102564","0","0","0","0","0.02564102564102564","0.02564102564102564","0.02564102564102564","0","0","0","0","0","0","0.05128205128205128","0","0","0.4358974358974359","0.07692307692307693","0","0.3076923076923077","0","0"
"https://doi.org/10.1051/agro:19940904","0","0","0","0","0","0","0","0.125","0","0","0","0","0","0","0.125","0","0","0","0","0","0","0.625","0","0.125","0","0"
"https://doi.org/10.1111/j.1757-1707.2009.01014.x","0","0.018867924528301886","0","0","0.018867924528301886","0","0.018867924528301886","0","0","0","0","0.05660377358490566","0","0","0","0.33962264150943394","0","0","0","0.20754716981132076","0","0.18867924528301888","0","0.1509433962264151","0","0"
"https://doi.org/10.2298/csis130528021b","0","0","0","0","0.015625","0","0","0","0","0","0.046875","0","0","0","0.890625","0","0","0","0","0","0","0","0","0.046875","0","0"
"https://doi.org/10.1017/s0950268810000506","0","0","0","0.171875","0","0.0625","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015625","0.34375","0.3125","0","0.09375","0","0"
"https://doi.org/10.3390/pathogens12111289","0","0.015625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.046875","0.765625","0","0.171875","0","0"
"https://doi.org/10.1128/jvi.01834-20","0","0","0","0.013888888888888888","0","0","0","0.013888888888888888","0","0","0","0","0","0","0","0","0","0","0","0.08333333333333333","0.19444444444444445","0.4722222222222222","0","0.2222222222222222","0","0"
"https://doi.org/10.1111/mpp.13129","0","0","0","0.0410958904109589","0","0","0","0.0273972602739726","0","0","0","0.0136986301369863","0","0","0.0547945205479452","0.0136986301369863","0","0","0","0","0.0136986301369863","0.5616438356164384","0.0136986301369863","0.2465753424657534","0","0.0136986301369863"
"https://doi.org/10.4102/ojvr.v87i1.1731","0","0.013333333333333334","0","0.04","0","0.013333333333333334","0","0","0","0","0","0","0","0","0","0","0","0.013333333333333334","0","0.18666666666666668","0.44","0.25333333333333335","0","0.04","0","0"
"https://doi.org/10.1051/fruits:2006021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02857142857142857","0","0.8714285714285714","0","0.07142857142857142","0.02857142857142857","0"
"https://doi.org/10.1684/agr.2011.0475","0.029850746268656716","0.2835820895522388","0","0.014925373134328358","0.04477611940298507","0","0","0","0.014925373134328358","0","0","0","0","0.04477611940298507","0.029850746268656716","0.1044776119402985","0","0","0","0.029850746268656716","0","0.3880597014925373","0","0.014925373134328358","0","0"
"https://doi.org/10.1051/cagri/2018034","0","0.06451612903225806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.22580645161290322","0","0.7096774193548387","0","0","0","0"
"https://doi.org/10.1016/j.jaridenv.2021.104449","0","0","0","0","0","0","0","0","0","0","0","0","0.08108108108108109","0","0.05405405405405406","0","0","0","0","0.5945945945945946","0","0.2702702702702703","0","0","0","0"
"https://doi.org/10.1093/nar/gkv351","0","0","0","0","0","0","0","0","0","0","0","0","0.015151515151515152","0","0.09090909090909091","0","0","0","0","0","0","0.07575757575757576","0","0.803030303030303","0","0.015151515151515152"
"https://doi.org/10.1051/ocl.2001.0534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0.2","0.6","0"
"https://doi.org/10.1186/s12889-022-13878-3","0","0.1917808219178082","0","0.0273972602739726","0.0136986301369863","0","0","0.0136986301369863","0","0","0","0","0","0.0273972602739726","0.0136986301369863","0","0","0.2191780821917808","0","0.0547945205479452","0.2465753424657534","0.1095890410958904","0","0.0547945205479452","0","0.0273972602739726"
"https://doi.org/10.52780/res.v28iesp.2.18868","0","0.0625","0","0","0.0625","0","0","0","0.0625","0.0625","0","0","0","0","0","0","0","0","0","0.1875","0.3125","0.25","0","0","0","0"
"https://doi.org/10.3201/eid2104.141415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6363636363636364","0.3333333333333333","0","0.030303030303030304","0","0"
"https://doi.org/10.5897/ajar11.008","0","0.17647058823529413","0","0","0","0","0","0","0","0","0","0","0","0.11764705882352941","0","0","0","0","0","0.17647058823529413","0","0.47058823529411764","0","0.058823529411764705","0","0"
"https://doi.org/10.1093/jisesa/iex094","0","0","0","0","0","0","0","0","0","0","0","0","0.011494252873563218","0","0","0","0.10344827586206896","0","0","0.04597701149425287","0","0.6781609195402298","0","0.16091954022988506","0","0"
"https://doi.org/10.48045/001c.90008","0","0","0","0.22727272727272727","0","0","0.07954545454545454","0","0.011363636363636364","0","0","0","0","0","0","0","0.011363636363636364","0","0","0.07954545454545454","0.045454545454545456","0.45454545454545453","0","0.09090909090909091","0","0"
"https://doi.org/10.19182/remvt.9940","0","0.3333333333333333","0","0","0","0","0","0","0.3333333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0.3333333333333333","0","0","0","0"
"https://doi.org/10.1186/1743-422x-7-43","0","0","0","0","0","0","0","0.011363636363636364","0","0","0","0","0","0","0","0","0","0","0","0","0.6590909090909091","0.2727272727272727","0","0.056818181818181816","0","0"
"https://doi.org/10.5897/ajb2013.13181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.027777777777777776","0","0.7777777777777778","0","0.19444444444444445","0","0"
"https://doi.org/10.1111/1477-8947.12128","0","0.39080459770114945","0","0","0.04597701149425287","0","0","0","0.08045977011494253","0","0","0","0","0.16091954022988506","0","0.13793103448275862","0","0","0","0.13793103448275862","0.011494252873563218","0.034482758620689655","0","0","0","0"
